,municipio,uf,latitude,longitude,valor_empenhado,valor_liquidado,valor_pago,cnpj
0,Serafina Corrêa,RS,-28.7126,-51.9352,15123474.46,5715212.9799999995,5682447.109999999,384
1,São Paulo,SP,-23.5329,-46.6395,5867466.07,2126801.54,2126801.54,12
2,Guaporé,RS,-28.8399,-51.8895,4208558.38,975744.3800000001,897088.3800000001,57
3,Brasília,DF,-15.7795,-47.9297,3844454.69,1016795.9299999999,949211.3,22
4,Passo Fundo,RS,-28.2576,-52.4091,1948907.0899999999,598199.33,446261.15,61
5,Caxias do Sul,RS,-29.1629,-51.1792,1639562.3699999999,204023.27000000002,159596.30000000005,26
6,Porto Alegre,RS,-30.0318,-51.2065,1466669.23,1055660.04,1050844.8800000001,86
7,Paraí,RS,-28.5964,-51.7896,969094.94,748638.88,748638.88,11
8,Nova Araçá,RS,-28.6537,-51.7458,682493.63,650172.03,650172.03,10
9,Nova Bassano,RS,-28.7291,-51.7072,675989.14,406644.01,406644.01,20
10,Nova Prata,RS,-28.7799,-51.6113,523249.49,157454.81,157454.81,8
11,Casca,RS,-28.5605,-51.9815,388806.01,190556.17,190397.77,24
12,Santa Cruz do Sul,RS,-29.722,-52.4343,377461.66,93523.26000000001,93523.26000000001,8
13,Marau,RS,-28.4498,-52.1986,336807.26,140209.68,140209.68,33
14,Vila Maria,RS,-28.5359,-52.1486,312976.45,29886.98,29886.98,12
15,São Domingos do Sul,RS,-28.5312,-51.886,301692.35,238158.93,238158.93,5
16,Bento Gonçalves,RS,-29.1662,-51.5165,245822.58999999997,205272.56,145889.58,22
17,Canoas,RS,-29.9128,-51.1857,179136.0,0.0,0.0,1
18,Selbach,RS,-28.6294,-52.9498,156882.28999999998,24683.02,24683.02,3
19,Xanxerê,SC,-26.8747,-52.4036,97290.0,48746.0,48746.0,3
20,Lajeado,RS,-29.4591,-51.9644,92938.87000000001,19888.55,19888.55,6
21,Serra,ES,-20.121,-40.3074,90404.36,59497.36,59497.36,7
22,Erechim,RS,-27.6364,-52.2697,84042.24,56965.020000000004,56965.020000000004,15
23,Pato Branco,PR,-26.2292,-52.6706,80045.14,11563.44,11563.44,2
24,Toledo,PR,-24.7246,-53.7412,74534.9,2567.0,2567.0,2
25,Paulo Bento,RS,-27.7051,-52.4169,61873.34,5010.37,5010.37,4
26,Bom Princípio,RS,-29.4856,-51.3548,60564.759999999995,58386.64,24718.89,6
27,Três Arroios,RS,-27.5003,-52.1448,57308.88,45281.659999999996,45281.659999999996,4
28,Victor Graeff,RS,-28.5632,-52.7495,52150.0,24270.0,24270.0,3
29,Barão de Cotegipe,RS,-27.6208,-52.3798,48025.57,2959.3,2959.3,11
30,Planalto Alegre,SC,-27.0704,-52.867,42893.05,30661.5,30661.5,6
31,Feliz,RS,-29.4527,-51.3032,35287.42,2177.31,2177.31,3
32,Teutônia,RS,-29.4482,-51.8044,34669.99,34669.990000000005,34669.990000000005,4
33,São José do Ouro,RS,-27.7707,-51.5966,34600.0,17300.0,17300.0,2
34,São Valentim do Sul,RS,-29.0451,-51.7684,32449.28,16258.4,16258.4,6
35,Blumenau,SC,-26.9155,-49.0709,29899.86,28390.96,28390.96,6
36,Carazinho,RS,-28.2958,-52.7933,29248.0,21686.0,21686.0,6
37,Ibiaçá,RS,-28.0566,-51.8599,27926.15,27926.15,27926.15,4
38,Cerro Largo,RS,-28.1463,-54.7428,26664.0,19960.0,19960.0,3
39,Santo Antônio da Patrulha,RS,-29.8268,-50.5175,25800.89,19939.8,19939.8,3
40,Pelotas,RS,-31.7649,-52.3371,22000.0,22000.0,22000.0,2
41,Venâncio Aires,RS,-29.6143,-52.1932,20979.26,19279.260000000002,19279.260000000002,3
42,Tapejara,RS,-28.0652,-52.0097,19200.0,19200.0,19200.0,1
43,Itajaí,SC,-26.9101,-48.6705,16589.98,16589.98,16589.98,5
44,Vacaria,RS,-28.5079,-50.9418,15960.0,4200.0,4200.0,3
45,Arroio do Meio,RS,-29.4014,-51.9557,15488.0,9680.0,9680.0,2
46,Gravataí,RS,-29.9413,-50.9869,14200.0,14200.0,14200.0,1
47,Jacutinga,RS,-27.7291,-52.5372,14052.7,4692.1,4692.1,3
48,Lages,SC,-27.815,-50.3259,11774.1,3054.0,3054.0,3
49,Sertão,RS,-27.9798,-52.2588,10964.46,0.0,0.0,3
50,Goiânia,GO,-16.6864,-49.2643,10534.27,5341.32,5341.32,3
51,São Pedro da Serra,RS,-29.4193,-51.5134,9843.4,0.0,0.0,2
52,Alvorada,RS,-29.9914,-51.0809,9483.84,5916.9400000000005,5916.94,3
53,São Leopoldo,RS,-29.7545,-51.1498,8740.0,8740.0,8740.0,1
54,Belo Horizonte,MG,-19.9102,-43.9266,8200.0,0.0,0.0,1
55,Palmeira das Missões,RS,-27.9007,-53.3134,7685.0,1960.0,1960.0,2
56,Sananduva,RS,-27.947,-51.8079,7580.0,574.45,574.45,3
57,Colinas,RS,-29.3948,-51.8556,7500.0,7500.0,7500.0,1
58,Concórdia,SC,-27.2335,-52.026,7412.12,4254.1,4254.1,3
59,Indaial,SC,-26.8992,-49.2354,7160.0,3580.0,3580.0,2
60,Cachoeirinha,RS,-29.9472,-51.1016,6394.3,4877.6,4877.6,2
61,Itapema,SC,-27.0861,-48.616,6202.42,1924.8899999999999,1283.26,3
62,Três Passos,RS,-27.4555,-53.9296,6159.99,1600.0,1600.0,3
63,Curitiba,PR,-25.4195,-49.2646,5860.0,0.0,0.0,1
64,Arvorezinha,RS,-28.8737,-52.1781,5367.6,0.0,0.0,1
65,Encantado,RS,-29.2351,-51.8703,4655.67,1613.62,1613.62,7
66,Veranópolis,RS,-28.9312,-51.5516,4647.0,0.0,0.0,2
67,Três de Maio,RS,-27.78,-54.2357,4474.0,0.0,0.0,1
68,Rio de Janeiro,RJ,-22.9129,-43.2003,4080.0,710.9399999999999,710.9399999999999,6
69,Taquara,RS,-29.6505,-50.7753,3854.29,3854.29,3854.29,2
70,Torres,RS,-29.3334,-49.7333,3783.01,3783.01,3783.01,1
71,Chapecó,SC,-27.1004,-52.6152,3668.5,1334.0,1334.0,3
72,Tubarão,SC,-28.4713,-49.0144,3625.2599999999998,3625.2599999999998,3625.2599999999998,3
73,Vera Cruz,RS,-29.7184,-52.5152,3570.0,0.0,0.0,1
74,Uberaba,MG,-19.7472,-47.9381,3207.06,0.0,0.0,1
75,Santa Rosa,RS,-27.8702,-54.4796,3120.0,1560.0,1560.0,3
76,Santa Maria,RS,-29.6868,-53.8149,2800.0,1400.0,1400.0,3
77,Eldorado do Sul,RS,-30.0847,-51.6187,2283.7,1479.7,1479.7,3
78,Flores da Cunha,RS,-29.0261,-51.1875,2274.0,2274.0,2274.0,2
79,Fontoura Xavier,RS,-28.9817,-52.3445,2206.37,46.37,46.37,1
80,Timbó,SC,-26.8246,-49.269,1869.15,791.6400000000001,791.6400000000001,3
81,Maringá,PR,-23.4205,-51.9333,1840.0,1840.0,1840.0,1
82,Redentora,RS,-27.664,-53.6407,1802.97,1577.6,1577.6,3
83,Aratiba,RS,-27.3978,-52.2975,1340.6,508.8,508.8,3
84,Ponta Grossa,PR,-25.0916,-50.1668,1305.0,0.0,0.0,1
85,Harmonia,RS,-29.5456,-51.4185,773.72,0.0,0.0,1
86,Rio do Sul,SC,-27.2156,-49.643,720.0,0.0,0.0,1
87,Ronda Alta,RS,-27.7758,-52.8056,600.0,600.0,600.0,1
88,Viamão,RS,-30.0819,-51.0194,600.0,600.0,600.0,2
89,São Miguel do Oeste,SC,-26.7242,-53.5163,516.91,192.16,192.16,3
90,Engenheiro Coelho,SP,-22.4836,-47.211,480.0,480.0,480.0,1
91,Barueri,SP,-23.5057,-46.879,328.24,0.0,0.0,1
92,Duque de Caxias,RJ,-22.7858,-43.3049,180.18,180.18,180.18,2
93,Campos Novos,SC,-27.4002,-51.2276,105.37,0.0,0.0,1
94,Florianópolis,SC,-27.5945,-48.5477,75.65,75.65,75.65,1
